Table ID,Table Name,Table Label,Record Family,Category,Is Custom,Is System,Field Count,Has Overview,Base Type,Description,Available,Feature Required,Permission Required
FulfillmentRequestStatus,FulfillmentRequestStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
InventoryCountStatus,InventoryCountStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
CustomerPaymentStatus,CustomerPaymentStatus,Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
PurchaseOrderStatus,PurchaseOrderStatus,Status,TRANSACTION,System,No,Yes,0,No,,,Yes,,
DepositApplicationStatus,DepositApplicationStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
waveStatus,waveStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
ExpenseReportStatus,ExpenseReportStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
NettingStatementDocumentStatus,NettingStatementDocumentStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
CashSaleStatus,CashSaleStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
pickActionStatus,pickActionStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
RfqStatus,RfqStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
UsageStatus,UsageStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
subscriptionLineStatus,subscriptionLineStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
WorkOrderStatus,WorkOrderStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
PlannedOrderStatusType,PlannedOrderStatusType,Status,OTHER,System,No,Yes,0,No,,,Yes,,
payrollDocumentStatus,payrollDocumentStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
CustomerAuthorizationStatus,CustomerAuthorizationStatus,Status,ENTITY,System,No,Yes,0,No,,,Yes,,
TransferOrderStatus,TransferOrderStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
CustomerDepositStatus,CustomerDepositStatus,Status,ENTITY,System,No,Yes,0,No,,,Yes,,
VatLiabilityStatus,VatLiabilityStatus,Status,OTHER,System,No,Yes,0,No,,,Yes,,
StockBehaviorType,StockBehaviorType,Stock Behavior Type,OTHER,System,No,Yes,0,No,,,Yes,,
storeAddItemBehavior,storeAddItemBehavior,Store Add Item Behavior,ITEM,System,No,Yes,0,No,,,Yes,,
StoreListLook,StoreListLook,Store List Look,OTHER,System,No,Yes,0,No,,,Yes,,
storeLook,storeLook,Store Look,OTHER,System,No,Yes,0,No,,,Yes,,
storePickupFulfillment,storePickupFulfillment,Store Pickup Fulfillment,OTHER,System,No,Yes,0,No,,,Yes,,
storePortletStyle,storePortletStyle,Store Portlet Style,OTHER,System,No,Yes,0,No,,,Yes,,
